,Brand,Category,Product Name ,Price,Reviewer,Review,Product Purchase,Ratings,Date Of Review,Response,tokenized_reviews,Polarity
0,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,peachiii,fast delivery, Bittersweet Mand,5,11/24/2019 14:32,no,"['fast', 'delivery']",1
1,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,peachiii,bubble wrapped, Bittersweet Mand,5,11/24/2019 14:32,no,"['bubble', 'wrapped']",0
2,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,peachiii,i have yet to try it out , Bittersweet Mand,5,11/24/2019 14:32,no,"['i', 'have', 'yet', 'to', 'try', 'it', 'out']",0
3,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,naivialyntalde,i chooose the colour very dull dont like to use it anymore , Stripped Dow,4,11/21/2019 13:05,no,"['i', 'chooose', 'the', 'colour', 'very', 'dull', 'dont', 'like', 'to', 'use', 'it', 'anymore']",0
4,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,naivialyntalde,but the get on flash deal so still worth it the price , Stripped Dow,4,11/21/2019 13:05,no,"['but', 'the', 'get', 'on', 'flash', 'deal', 'so', 'still', 'worth', 'it', 'the', 'price']",1
5,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,izzahxx,shipping took one week, Violet Rebel,5,11/21/2019 19:12,no,"['shipping', 'took', 'one', 'week']",0
6,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,izzahxx,pretty, Violet Rebel,5,11/21/2019 19:12,no,['pretty'],1
7,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,izzahxx,will have to mix color to wear on lips heh thanks seller , Violet Rebel,5,11/21/2019 19:12,no,"['will', 'have', 'to', 'mix', 'color', 'to', 'wear', 'on', 'lips', 'heh', 'thanks', 'seller']",0
8,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,celestsoo,packing leak , Stripped Dow,1,11/25/2019 14:00,no,"['packing', 'leak']",-1
9,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,sneaihasaravanan,really good quality, Violet Rebel,5,11/21/2019 15:57,no,"['really', 'good', 'quality']",1
10,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,sneaihasaravanan,shade worth it price , Violet Rebel,5,11/21/2019 15:57,no,"['shade', 'worth', 'it', 'price']",1
11,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,hestertay,pretty small, Stripped Dow,5,11/18/2019 12:32,no,"['pretty', 'small']",1
12,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,hestertay,handy for travel, Stripped Dow,5,11/18/2019 12:32,no,"['handy', 'for', 'travel']",1
13,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,hestertay,colour looks freat as well , Stripped Dow,5,11/18/2019 12:32,no,"['colour', 'looks', 'freat', 'as', 'well']",1
14,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,csloh,good deal considering the brand, Stripped Dow,5,11/19/2019 13:46,no,"['good', 'deal', 'considering', 'the', 'brand']",1
15,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,eneeli,package arrived sooner than expected, Bittersweet Mand,5,11/15/2019 0:22,no,"['package', 'arrived', 'sooner', 'than', 'expected']",0
16,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,eneeli,well packaged as well, Bittersweet Mand,5,11/15/2019 0:22,no,"['well', 'packaged', 'as', 'well']",1
17,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,eneeli,can wait to test this out, Bittersweet Mand,5,11/15/2019 0:22,no,"['can', 'wait', 'to', 'test', 'this', 'out']",0
18,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,yuuzaki,wow fast delivery received today, Stripped Dow,5,10/11/2019 15:08,no,"['wow', 'fast', 'delivery', 'received', 'today']",1
19,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,yuuzaki,yesterday just bought the item during flash sale ytd for 99 cents it a nude shade, Stripped Dow,5,10/11/2019 15:08,no,"['yesterday', 'just', 'bought', 'the', 'item', 'during', 'flash', 'sale', 'ytd', 'for', '99', 'cents', 'it', 'a', 'nude', 'shade']",0
20,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.9,yuuzaki,smells like skittles too, Stripped Dow,5,10/11/2019 15:08,no,"['smells', 'like', 'skittles', 'too']",0
