,Brand,Category,Product Name ,Price,Reviewer,Review,Product Purchase,Ratings,Date Of Review,Response
0,L-oreal-Paris,Shampoo,L'Oreal Paris EverStrong Thickening Shampoo,$11.93 , Karen T.,Item leaking on arrival but store arranged for replacement,Volume (ml):250,5,27-Jan-19,yes
1,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Total Repair 5 1 Minute Repairing Mask,$11.18 , jq,Fast delivery!,Volume (ml):200,5,15-Feb-19,yes
2,L-oreal-Paris,Shampoo,L'Oreal Paris Color Vive Shampoo 450ml,$8.93 , Lazada Customer,Love this product! The sellers even add in some freebies like a mask and a small bottle of makeup remover!,Volume (ml):450,5,12-Oct-19,yes
3,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Hyaluron Moisture Shampoo 700ML,$10.43 , Lazada Customer,"Ordered on 26 Apr, contacted seller many times, but order was not processed. Until mid Jun, the seller asked me to cancel my whole order as 2 products discontinued. So i contacted Loreal Singapore office directly and order was finally processed after TWO MONTHS of waiting. P.S. The refund for undelivered shampoo was still not processed. As for the product, not worth for such long wait.",Volume (ml):700,1,28-Jun-19,no
4,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , khjchm,Gd quality. Thanks L'Oreal,Volume (ml):330,5,14-Jan-19,yes
5,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , khjchm,Good buy. Thanks L'Oreal,Volume (ml):330,5,14-Jan-19,yes
6,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , Lazada Customer,Wrong items were sent and the items had to be sent back before I can receive the ones I actually ordered. I was told that pick-up for the return was possible on Saturday only to be notified by the driver that it's not. The whole process took 3 weeks from the time I placed the order to now and still I haven't received my items. No compensation was offered for the blunder on their part. Extremely poor service.,Volume (ml):330,1,19-Oct-18,no
7,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , Bhagya J.,No comments/review is an image,Volume (ml):330,5,28-Sep-18,no
8,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 330ml,$7.43 , Lazada Customer,Wrong items were sent and the items had to be sent back before I can receive the ones I actually ordered. I was told that pick-up for the return was possible on Saturday only to be notified by the driver that it's not. The whole process took 3 weeks from the time I placed the order to now and still I haven't received my items. No compensation was offered for the blunder on their part. Extremely poor service.,Volume (ml):330,1,19-Oct-18,no
9,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , khjchm,Best buy. Thanks L'Oreal,Volume (ml):650,5,14-Jan-19,yes
10,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Ding J.,"Like this shampoo, got it on discount price cheaper than retail. Delivery was fat too",Volume (ml):650,5,13-Sep-18,yes
11,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Catherine L.,Not suitable to my hair so can’t comment more. Lost a lot of hairs by using it. Changed to another Japanese shampoo . The hair stopped dropping immediately,Volume (ml):650,1,20-Dec-18,no
12,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Rosa O.,Received in 2 days! I think it is cheaper than buying outside.,Volume (ml):650,5,14-Dec-19,no
13,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Calvin L.,"Delivery box was sturdy, products look fine. Everything good",Volume (ml):650,5,16-Nov-19,no
14,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Lazada Customer,Great deal👍👍,Volume (ml):650,5,17-Sep-19,no
15,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Isai S.,No comments/review is an image,Volume (ml):650,5,18-Dec-19,no
16,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Lazada Customer,No comments/review is an image,Volume (ml):650,5,12-Sep-19,no
17,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Mala A.,No comments/review is an image,Volume (ml):650,5,8-Sep-19,no
18,L-oreal-Paris,Shampoo,L'Oreal Paris Fall Resist 3X Anti-Hair Fall Shampoo 650ml,$10.43 , Leonard G.,No comments/review is an image,Volume (ml):650,5,18-Feb-19,no
19,L-oreal-Paris,Shampoo,L'Oreal Paris Hyaluron Moisture Mask Hyaluronic Acid 250ml,$15.90 , ALICE T.,All are good. Good buy,Volume (ml):250,5,6-Jan-20,no
20,L-oreal-Paris,Shampoo,L'Oreal Paris Hyaluron Moisture Mask Hyaluronic Acid 250ml,$15.90 , Chen S.,so glad I found it! cant find in any shop.,Volume (ml):250,5,17-Nov-19,no
21,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Keratin Smooth 1 Minute Perfecting Mask,$11.18 , ALICE T.,All are good. Good buy,Volume (ml):200,5,6-Jan-20,no
22,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,really makes my hair looks silky and soft. good product!,Volume (ml):500,5,16-Oct-19,yes
23,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,love that i dont need to use shampoo to wash my hair. really cleanses my hair and scalp well,Volume (ml):500,5,10-Apr-19,yes
24,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Ginfreaks,"Not much foam, texture of the shampoo is more like conditioner.",Volume (ml):500,4,10-Dec-18,yes
25,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,Very good product. Love it.,Volume (ml):500,5,28-Nov-19,no
26,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,No comments/review is an image,Volume (ml):500,5,12-Oct-19,no
27,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Cherrie C.,No comments/review is an image,Volume (ml):500,5,20-Dec-18,no
28,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,No comments/review is an image,Volume (ml):500,5,14-Dec-18,no
29,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Bevv 베.,No comments/review is an image,Volume (ml):500,5,26-Nov-18,no
30,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Jasmine K.,No comments/review is an image,Volume (ml):500,5,30-Oct-18,no
31,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Lazada Customer,No comments/review is an image,Volume (ml):500,5,16-Oct-18,no
32,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Cleansing Balm,$19.43 , Clara Y.,No comments/review is an image,Volume (ml):500,5,12-Oct-18,no
33,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 650ml,$10.43 , Lazada Customer,Original and authentic,Volume (ml):700,5,24-Feb-19,yes
34,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Lazada Customer,"Very fast delivery, received within 3days! 
Bought this through the review of costumer here, hope it’s really good.",Volume (ml):100,5,20-Sep-19,no
35,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Lazada Customer,Fast delivery and awesome flash deal~ Looking forward for more sales ~!,Volume (ml):100,5,8-Oct-19,yes
36,L-oreal-Paris,Hair Oils,Extraordinary Oil Eclat Imperial - Pink 100ml (Smooth and High Shine) by L'Oréal Paris Elseve,$20.18 , Lazada Customer,"Looks authentic, have not open it. Bought it together with other products during loreal super day. Cheap price and good packaging.",Volume (ml):100,5,26-Oct-19,no
