,Brand,Category,Product Name ,Price,Reviewer,Review,Product Purchase,Ratings,Date Or Review,Response
0,L-oreal-Paris,Shampoo,L'Oreal Paris Color-Vive Protecting Shampoo 330ml,$7.43, Lam M.,No comments/review is an image,Volume (ml):330,4,19 Dec 2019,no
1,L-oreal-Paris,Shampoo,L'Oreal Paris Color-Vive Protecting Shampoo 330ml,$7.43, Isai S.,No comments/review is an image,Volume (ml):330,5,18 Dec 2019,no
2,L-oreal-Paris,Shampoo,L'Oreal Paris Keratin Smooth 72H Perfecting Shampoo 330ml,$7.43, Isai S.,No comments/review is an image,Volume (ml):330,5,18 Dec 2019,no
3,L-oreal-Paris,Shampoo,L'Oreal Paris Keratin Smooth 72H Perfecting Shampoo 330ml,$7.43, Lazada Customer,No comments/review is an image,Volume (ml):330,5,06 Apr 2019,no
4,L-oreal-Paris,Shampoo,L'Oreal Paris EverStrong Thickening Shampoo,$11.93, Karen T.,Item leaking on arrival but store arranged for replacement,Volume (ml):250,5,27 Jan 2019,yes
5,L-oreal-Paris,Shampoo,L'Oreal Paris EverStrong Thickening Shampoo,$11.93, Isai S.,No comments/review is an image,Volume (ml):250,5,18 Dec 2019,no
6,L-oreal-Paris,Shampoo,L'Oreal Paris EverStrong Thickening Shampoo,$11.93, Dania S.,No comments/review is an image,Volume (ml):250,5,01 Nov 2018,no
7,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Total Repair 5 1 Minute Repairing Mask,$11.18, jq,Fast delivery!,Volume (ml):200,5,15 Feb 2019,yes
8,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Total Repair 5 1 Minute Repairing Mask,$11.18, Denise,No comments/review is an image,Volume (ml):200,5,3 weeks ago,no
9,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Total Repair 5 1 Minute Repairing Mask,$11.18, Sally T.,No comments/review is an image,Volume (ml):200,5,30 Apr 2019,no
10,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Moisture Shampoo,$11.93, Beyhan E.,No comments/review is an image,Volume (ml):175,5,1 week ago,no
11,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Moisture Shampoo,$11.93, Isai S.,No comments/review is an image,Volume (ml):175,5,18 Dec 2019,no
12,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Moisture Shampoo,$11.93, Lazada Customer,No comments/review is an image,Volume (ml):175,5,13 Sep 2019,no
13,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Moisture Shampoo,$11.93, Lazada Customer,No comments/review is an image,Volume (ml):175,5,04 Dec 2018,no
14,L-oreal-Paris,Shampoo,L'Oreal Paris Color Vive Shampoo 450ml,$8.93, Lazada Customer,Love this product! The sellers even add in some freebies like a mask and a small bottle of makeup remover!,Volume (ml):450,5,12 Oct 2019,yes
15,L-oreal-Paris,Shampoo,L'Oreal Paris Keratin Smooth 72H Perfecting Conditioner 450ml,$10.43, Eleanor K.,No comments/review is an image,Volume (ml):450,4,26 Aug 2018,no
16,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Hyaluron Moisture Shampoo 700ML,$10.43, Lazada Customer,"Ordered on 26 Apr, contacted seller many times, but order was not processed. Until mid Jun, the seller asked me to cancel my whole order as 2 products discontinued. So i contacted Loreal Singapore office directly and order was finally processed after TWO MONTHS of waiting. P.S. The refund for undelivered shampoo was still not processed. As for the product, not worth for such long wait.",Volume (ml):700,1,28 Jun 2019,no
17,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Hyaluron Moisture Shampoo 700ML,$10.43, Lazada Customer,No comments/review is an image,Volume (ml):700,5,07 Feb 2019,no
18,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Hyaluron Moisture Shampoo 700ML,$10.43, Jane,No comments/review is an image,Volume (ml):700,5,28 Oct 2018,no
19,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Repair & Defend Conditioner,$11.93, Lun,No comments/review is an image,Volume (ml):250,5,11 Sep 2019,no
20,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Repair & Defend Conditioner,$11.93, Christine K.,No comments/review is an image,Volume (ml):250,5,17 May 2018,no
21,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Repair & Defend Shampoo,$11.93, norain,No comments/review is an image,Volume (ml):250,5,20 Dec 2019,no
22,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Repair & Defend Shampoo,$11.93, Isai S.,No comments/review is an image,Volume (ml):250,5,18 Dec 2019,no
23,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Repair & Defend Shampoo,$11.93, Lun,No comments/review is an image,Volume (ml):250,5,18 Jul 2019,no
24,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Repair & Defend Shampoo,$11.93, Silky A.,No comments/review is an image,Volume (ml):250,5,17 Dec 2018,no
25,L-oreal-Paris,Shampoo,L'Oreal Paris EverPure Repair & Defend Shampoo,$11.93, Lazada Customer,No comments/review is an image,Volume (ml):250,5,02 Nov 2018,no
26,L-oreal-Paris,Shampoo,L'Oreal Paris EverStrong Thickening Conditioner,$11.93, Lazada Customer,No comments/review is an image,Volume (ml):250,4,22 Nov 2018,no
27,L-oreal-Paris,Shampoo,L'Oreal Paris EverStrong Thickening Conditioner,$11.93, Dania S.,No comments/review is an image,Volume (ml):250,5,01 Nov 2018,no
