,Unnamed: 0,Platform,Brand,Category,Product_Name,Price,Reviewer,Review,Review_splitted,Product_Purchase,Ratings,Date_Of_Review,Response,topic,Polarity,Predicted_Polarity
0,0,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,geoffreylip,product arrived within three days. came well padded. great value for what we got. not tested yet but trust it will be good.,product arrived within three days,,5.0,2/27/2020 21:02,no,delivery,0,0
1,1,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,geoffreylip,product arrived within three days. came well padded. great value for what we got. not tested yet but trust it will be good.,came well padded,,5.0,2/27/2020 21:02,no,no_topic,1,1
2,2,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,geoffreylip,product arrived within three days. came well padded. great value for what we got. not tested yet but trust it will be good.,great value for what we got,,5.0,2/27/2020 21:02,no,price,1,1
3,3,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,geoffreylip,product arrived within three days. came well padded. great value for what we got. not tested yet but trust it will be good.,not tested yet but trust it will be good,,5.0,2/27/2020 21:02,no,quality,1,1
4,4,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuzzytotoro,fast shipping. i got it for only 48 dollars during flash sale! there are so many products i never tried before and very excited to try!,fast shipping,,5.0,3/8/2020 15:14,no,delivery,1,1
5,5,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuzzytotoro,fast shipping. i got it for only 48 dollars during flash sale! there are so many products i never tried before and very excited to try!,i got it for only 48 dollars during flash sale,,5.0,3/8/2020 15:14,no,price,0,0
6,6,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuzzytotoro,fast shipping. i got it for only 48 dollars during flash sale! there are so many products i never tried before and very excited to try!,there are so many products i never tried before and very excited to try,,5.0,3/8/2020 15:14,no,no_topic,1,0
7,7,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,nexxcexxa,received all in good condition. worth the price. but just wondering how come flash deal more ex than normal times. #shopeehaul,received all in good condition,,5.0,2/26/2020 15:20,no,delivery,1,1
8,8,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,nexxcexxa,received all in good condition. worth the price. but just wondering how come flash deal more ex than normal times. #shopeehaul,worth the price,,5.0,2/26/2020 15:20,no,price,1,1
9,9,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,nexxcexxa,received all in good condition. worth the price. but just wondering how come flash deal more ex than normal times. #shopeehaul,but just wondering how come flash deal more ex than normal times,,5.0,2/26/2020 15:20,no,price,0,0
10,10,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,nexxcexxa,received all in good condition. worth the price. but just wondering how come flash deal more ex than normal times. #shopeehaul,shopeehaul,,5.0,2/26/2020 15:20,no,no_topic,0,0
11,11,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,eternaldays,quite worth it for $48. good for those who's keen on trying a new set of skincare regime. also comes with sleeping hair mask,quite worth it for 48,,5.0,2/19/2020 22:24,no,price,1,1
12,12,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,eternaldays,quite worth it for $48. good for those who's keen on trying a new set of skincare regime. also comes with sleeping hair mask,good for those who is keen on trying a new set of skincare regime,,5.0,2/19/2020 22:24,no,quality,1,1
13,13,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,eternaldays,quite worth it for $48. good for those who's keen on trying a new set of skincare regime. also comes with sleeping hair mask,also comes with sleeping hair mask,,5.0,2/19/2020 22:24,no,quality,0,0
14,14,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,agnesn12,fast delivery and worth the price. long expiry date (2022).,fast delivery and worth the price,,5.0,3/8/2020 11:34,no,price,1,1
15,15,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,agnesn12,fast delivery and worth the price. long expiry date (2022).,long expiry date 2022,,5.0,3/8/2020 11:34,no,quality,0,0
16,16,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,cyndiyap,the most worth brand box i've bought on shopee!!! love all the products. super useful,the most worth brand box I have bought on hope,,5.0,2/16/2020 2:16,no,price,0,0
17,17,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,cyndiyap,the most worth brand box i've bought on shopee!!! love all the products. super useful,love all the products,,5.0,2/16/2020 2:16,no,quality,1,1
18,18,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,cyndiyap,the most worth brand box i've bought on shopee!!! love all the products. super useful,super useful,,5.0,2/16/2020 2:16,no,quality,1,1
19,19,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,12bidalot,item received in good condition. bought it during flash sale.,item received in good condition,,5.0,2/25/2020 20:23,no,delivery,1,1
20,20,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,12bidalot,item received in good condition. bought it during flash sale.,bought it during flash sale,,5.0,2/25/2020 20:23,no,price,0,0
21,21,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,zabreadbro,bought it during flashsale. super worth it the price. have not start using yet.,bought it during flashsale,,5.0,2/18/2020 14:46,no,no_topic,0,0
22,22,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,zabreadbro,bought it during flashsale. super worth it the price. have not start using yet.,super worth it the price,,5.0,2/18/2020 14:46,no,price,1,1
23,23,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,zabreadbro,bought it during flashsale. super worth it the price. have not start using yet.,have not start using yet,,5.0,2/18/2020 14:46,no,quality,0,0
24,24,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,12bidalot,item received in good condition. bought it during flash sale.,item received in good condition,,5.0,2/14/2020 15:37,no,delivery,1,1
25,25,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,12bidalot,item received in good condition. bought it during flash sale.,bought it during flash sale,,5.0,2/14/2020 15:37,no,price,0,0
26,26,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jaminachua,"items included in the brand box are well worth the price paid.
great deal for trying out their new products but don't wanna commit yet.",items included in the brand box are well worth the price paid,,5.0,2/11/2020 19:28,no,price,1,1
27,27,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,jaminachua,"items included in the brand box are well worth the price paid.
great deal for trying out their new products but don't wanna commit yet.",great deal for trying out their new products but do not wan na commit yet,,5.0,2/11/2020 19:28,no,price,0,1
28,28,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,ammaspooja,love all the products and got them all for an amazing deal. super fast delivery! ordered it yesterday morning and got it today! cheers😁,love all the products and got them all for an amazing deal,,5.0,2/14/2020 22:00,no,price,1,1
