,Review,Emoji
0,Got this on flash at a very good price. Took about a week to arrive and I received the mini mascara as well. Thank you Maybelline! I'm a fan! 😊,['😊']
1,Received it yesterday! Thanks seller! Came with free mascara.👍,['👍']
2,good buy .. happy buyer here😍,['😍']
3,👍👍,['👍']
4,Love it 😍 I’ve tried to wear it today and it have a nice finishing touch. ,['😍']
5,"Well received. Haven open and try yet but see lots of good reviews. Purchased on 11.11, receive on 14.11. Happy that there's free mascara along. Comes with loreal invoice. Good buy! 👍🏻",['👍🏻']
6,"Overall, packages are nicely packed in a bubbled air bag. Well received! 👍
Foundation maf date in 2019! 👍",['👍']
7,Super fast delivery. Order yesterday received today. Thanks seller😊,['😊']
8,ordered on 29.10 and received on 06.11 :) received the freebie mascara as i ordered on the promo date 😄❤️ can't wait to try!,"['😄', '❤️']"
9,"Ordered on the 22nd of October and I got it today, the 24th of October. Hands down the fastest delivery I've ever gotten from Shopee 😂

On a serious note though, the product came in with no cracks or any malfunction. Even tried the pump. Hopefully 130 buff beige is my colour– had always used 220 :(",['😂']
10,super fast delivery and item is well packed!! received just in time for my holiday trip 😋,['😋']
11,Fast delivery n gd quality 😊,['😊']
12,"nice buy
buy in flash sale
worth it
fast delivery
Authenticity is rest assured by buying frm official site👍",['👍']
13,Started using and damn its so goodd. Staying on power 👍🏻👍🏻👍🏻 Matches skin tone well too,['👍🏻']
14,"Items well received 😊 Thank you for the quick delivery~ Tried the foundation, however, it was more liquidy than the superstay.. personally I prefer the superstay better, it has a fuller coverage..",['😊']
15,Thank you for giving the 3 eye+ lip make up remover!! Will purchase from the store again 💓,['💓']
16,Love it! Finally with a pump and glad that I got the 3 free bottles of make up remover! Thank you❤,['❤']
17,Super fast delivery 👍🏼,['👍🏼']
18,Thanks 😍😍😍😍😘,"['😘', '😍']"
19,Return customer 👍,['👍']
20,Very fast delivery 👍,['👍']
21,Fast delivery. Exact shade. 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,['👍🏻']
22,product is as per pic and delivery only took 2 days. satisfied w product!!! thanks 😊 ,['😊']
23,"Travel size product. Small and handy.

Expiry date is next year👍🏼",['👍🏼']
24,"Packaged nicely with the rest of my order, came precisely with the free make-up removers as indicated in the promotion! 👍👍",['👍']
25,"Fast delivery, ordered and arrived in 2 days, can't wait to use
Came with 2 free makeup remover 💕",['💕']
26,Very fast delivery!! Such a good deal with the 2 little makeup remover bottles 🤩 thanks again!,['🤩']
27,huge fan of maybelline products! thank you for the promotion. i swear by the maybelline age rewind concealer is the best concealer ever ❤️,['❤️']
28,Delivery was fast. However it was partially my fault that thought that there is compulsory of makeup remover as free gift which is why i bought it :( Sad to know that it is only for the first 100 customers. If i know it not compulsory i wont not have got it as the shipping fee is $2😭😭😭,['😭']
29,Love this concealer! Very good! I will definitely repurchase again 👍🏻👍🏻👍🏻,['👍🏻']
30,Product came in around 3 days hence the delivery was really awesome 👍🏻 Very satisfied with the product as I am getting the same product at a cheaper price online as compared to the physical store. Highly recommended and I would stock up the next time it is discounted. ,['👍🏻']
31,"definitely the authentic one bcoz it's the Official shop and ofc the quality is premium! been using this since last year and the coverage is really very good, just apply a little will do! ❤️🤧 ","['❤️', '🤧']"
32,Received promptly in good condition with a complimentary lipstick! Product was bubble wrapped nicely. 👍🏻,['👍🏻']
33,"Love love love this product. Bought it at a lighter shade before, suits my skin. Buying it at medium shade now as I tanned 🤣",['🤣']
34,Package took awhile to received at such good price no complaint but hopefully it works 😊👍🏻,"['😊', '👍🏻']"
35,Good buy! This will not be my last... more to shop here 👍👍👍,['👍']
36,Satisfied with purchase! Will buy more 😊,['😊']
37,"Packaged nicely with the rest of my order, came precisely with the free make-up removers as indicated in the promotion! 👍👍",['👍']
38,i love it 🥰 ,['🥰']
39,In love with the colours! And maybelline's kind and generous gesture of including 4 free makeup removers in my package is greatly appreciated! ☺☺,['☺']
40,Received it well for my wife. 😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏,['😏']
41,Love this lipstick 115. 👄Yes proven superstay 😊😍 👍,"['😊', '😍', '👍', '👄']"
42,Wahoooo nice colours.Will buy more Tkq 👌🏽👌🏽,['👌🏽']
43,The colour is same as expected and the lipstick love so sexy! Love it! 🥰,['🥰']
44,Nice reddish brown shade. Lipstick is kiss proof and transfer proof. Very pigmented. Long-lasting despite eating a footlong Subway sandwich 😄. ,['😄']
45,👍🏻,['👍🏻']
46,"Paid $13 with promo. Love the color, it pulls a really lovely reddish orange tone on me. AND IT REALLY STAYED ON 100% even after a meal of oily mookata. WOW🙀 p/s it may feel tacky at first but allow it to dry and set! Mfg date is 03/2019",['🙀']
47,Received product in good condition & fast delivery. Bought this as there are lots of good review on this. Hope it stays long as what others have said! ☺️,['☺️']
