,Brand,Category,Product Name ,Price,Reviewer,Review,Product Purchase,Ratings,Date Of Review,Response
0,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,peachiii,Fast delivery and bubble wrapped. I have yet to try it out...............,Variation: Bittersweet Mandarin,5,2019-11-24 14:32,no
1,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,naivialyntalde,I chooose the colour very dull i dont like to use it anymore  .. but the i get on flash deal so still worth it the price ,Variation: Stripped Down,4,2019-11-21 13:05,no
2,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,izzahxx,shipping took one week. pretty but will have to mix color to wear on lips heh thanks seller!,Variation: Violet Rebel,5,2019-11-21 19:12,no
3,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,celestsoo,Packing leak ,Variation: Stripped Down,1,2019-11-25 14:00,no
4,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,sneaihasaravanan,Really good quality and shade worth it’s price ,Variation: Violet Rebel,5,2019-11-21 15:57,no
5,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,hestertay,Pretty small. Handy for travel. Colour looks freat as well.,Variation: Stripped Down,5,2019-11-18 12:32,no
6,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,csloh,Good deal considering the brand. ,Variation: Stripped Down,5,2019-11-19 13:46,no
7,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,eneeli,Package arrived sooner than expected and well packaged as well. Can't wait to test this out! ,Variation: Bittersweet Mandarin,5,2019-11-15 00:22,no
8,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,yuuzaki,Wow fast delivery i received today and yesterday i just bought the item during flash sale ytd for 99 cents~ it’s a nude shade and smells like skittles too. When applied it is not that shiny actually but feels a bit like a matte lipstick too when applied. Overall is a good buy to try the product ^^,Variation: Stripped Down,5,2019-10-11 15:08,no
9,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,darences,Well received! Got it at a deal during the flash sale! Good buy! ,Variation: Talk Back Red,5,2019-10-19 09:05,no
10,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,roxinande,"Delivery was really fast. Packing for small item fuss free and neat. However product is really sticky. I have tried other colours before but this particular one is so sticky even after using makeup remover on the lips, my lips were just dry and still sticky. Prolly wont use again. ",Variation: Orange Outburst,2,2019-10-11 21:31,no
11,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,sitiraihah,Delivery was SUPER quick and item was super worth it during flash sale. But the violet rebel colour is a lot more vibrant purple than how it looks like in the photo.,Variation: Violet Rebel,5,2019-10-14 12:49,no
12,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,chantillyy,Very glossy! Colour does seem pigmented after squeezing out some amount from the tube. Has a rather strong smell to it tho ,Variation: Red-Dy Or Not,5,2019-10-11 18:11,no
13,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,wwwwwwwa,item received in <1 day which is v impressive??? got it during the 10.10 flash deal @ $0.99 - a steal!,Variation: Stripped Down,5,2019-10-13 14:48,no
14,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,amandally93,Next day delivery. Fast shipping and excellent product :) Thanks! ,Variation: Talk Back Red,5,2019-10-16 08:00,no
15,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,ivory1986,Very worth to buy. Received the item on next day with good conditions but it’s old stocks manufactory date on year 2017,Variation: Orange Outburst,4,2019-10-14 12:31,no
16,Maybelline,Lips,Maybelline Lip Studio Color Jolt Shiny + Matte Range,9.90,arora.ri2,Super fast (next day) delivery!  Product as advertised.  Good packaging!  Recommend 👍,Variation: Violet Rebel,5,2019-10-11 14:37,no
