,ID,Brand,Category,Product Name ,Price,Reviewer,Review,Product Purchase,Ratings,Date Of Review,Response,tokenized_review,Polarity,Score
0,0,L-oreal-Paris,Shampoo,L'Oreal Paris EverStrong Thickening Shampoo,$11.93 , Karen T.,item leaking on arrival but store arranged for replacement,lume (ml):250,5,19-Feb-20,yes,"['item', 'leak', 'arrival', 'store', 'arrange', 'replacement']",-1,-1
1,1,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Total Repair 5 1 Minute Repairing Mask,$11.18 , jq,fast delivery,lume (ml):200,5,19-Feb-20,yes,"['fast', 'delivery']",1,1
2,2,L-oreal-Paris,Shampoo,L'Oreal Paris Color Vive Shampoo 450ml,$8.93 , Lazada Customer,love this product,lume (ml):450,5,19-Feb-20,yes,"['love', 'product']",1,1
3,2,L-oreal-Paris,Shampoo,L'Oreal Paris Color Vive Shampoo 450ml,$8.93 , Lazada Customer,the sellers even add in some freebies like a mask and a small bottle of makeup remover,lume (ml):450,5,19-Feb-20,yes,"['seller', 'add', 'freebie', 'mask', 'small', 'bottle', 'makeup']",0,0
4,3,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Hyaluron Moisture Shampoo 700ML,$10.43 , Lazada Customer,ordered on 26 apr contacted seller many times but order was not processed,lume (ml):700,1,19-Feb-20,no,"['order', 'contact', 'seller', 'many', 'time', 'order', 'process']",0,0
5,3,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Hyaluron Moisture Shampoo 700ML,$10.43 , Lazada Customer,until mid jun the seller asked me to cancel my whole order as 2 products discontinued,lume (ml):700,1,19-Feb-20,no,"['seller', 'ask', 'cancel', 'whole', 'order', 'product', 'discontinue']",0,0
6,3,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Hyaluron Moisture Shampoo 700ML,$10.43 , Lazada Customer,so i contacted lorean singapore office directly and order was finally processed after two months of waiting,lume (ml):700,1,19-Feb-20,no,"['contacted', 'order', 'process', 'month', 'wait']",0,0
7,3,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Hyaluron Moisture Shampoo 700ML,$10.43 , Lazada Customer,the refund for undelivered shampoo was still not processed,lume (ml):700,1,19-Feb-20,no,"['undelivered', 'shampoo', 'process']",0,0
8,3,L-oreal-Paris,Shampoo,L'Oreal Paris Elseve Hyaluron Moisture Shampoo 700ML,$10.43 , Lazada Customer,as for the product not worth for such long wait,lume (ml):700,1,19-Feb-20,no,"['product', 'worth', 'long', 'wait']",1,1
9,4,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , khjchm,gd quality,lume (ml):330,5,19-Feb-20,yes,[],0,0
10,4,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , khjchm,thanks lorean,lume (ml):330,5,19-Feb-20,yes,['thank'],1,1
11,5,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , khjchm,good buy,lume (ml):330,5,19-Feb-20,yes,"['good', 'buy']",1,1
12,5,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , khjchm,thanks lorean,lume (ml):330,5,19-Feb-20,yes,['thank'],1,1
13,6,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , Lazada Customer,wrong items were sent and the items had to be sent back before i can receive the ones i actually ordered,lume (ml):330,1,19-Feb-20,no,"['wrong', 'item', 'send', 'item', 'send', 'receive', 'one', 'order']",-1,-1
14,6,L-oreal-Paris,Shampoo,L'Oreal Paris Total Repair 5 Repairing Shampoo 330ml,$7.43 , Lazada Customer,i was told that pick up for the return was possible on saturday only to be notified by the driver that it is not,lume (ml):330,1,19-Feb-20,no,"['tell', 'return', 'possible', 'notify', 'driver']",0,0
