,Unnamed:_0,Platform,Brand,Category,Product_Name,Price,Reviewer,Review,Review_splitted,Product_Purchase,Ratings,Date_Of_Review,Response,topic
0,0,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,geoffreylip,product arrived within three days. came well padded. great value for what we got. not tested yet but trust it will be good.,product arrived within three days,,5.0,2020-02-27 21:02:00,no,delivery
1,1,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,geoffreylip,product arrived within three days. came well padded. great value for what we got. not tested yet but trust it will be good.,came well padded,,5.0,2020-02-27 21:02:00,no,no_topic
2,2,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,geoffreylip,product arrived within three days. came well padded. great value for what we got. not tested yet but trust it will be good.,great value for what we got,,5.0,2020-02-27 21:02:00,no,price
3,3,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,geoffreylip,product arrived within three days. came well padded. great value for what we got. not tested yet but trust it will be good.,not tested yet but trust it will be good,,5.0,2020-02-27 21:02:00,no,quality
4,4,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuzzytotoro,fast shipping. i got it for only 48 dollars during flash sale! there are so many products i never tried before and very excited to try!,fast shipping,,5.0,2020-03-08 15:14:00,no,delivery
5,5,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuzzytotoro,fast shipping. i got it for only 48 dollars during flash sale! there are so many products i never tried before and very excited to try!,i got it for only 48 dollars during flash sale,,5.0,2020-03-08 15:14:00,no,price
6,6,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,fuzzytotoro,fast shipping. i got it for only 48 dollars during flash sale! there are so many products i never tried before and very excited to try!,there are so many products i never tried before and very excited to try,,5.0,2020-03-08 15:14:00,no,no_topic
7,7,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,nexxcexxa,received all in good condition. worth the price. but just wondering how come flash deal more ex than normal times. #shopeehaul,received all in good condition,,5.0,2020-02-26 15:20:00,no,delivery
8,8,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,nexxcexxa,received all in good condition. worth the price. but just wondering how come flash deal more ex than normal times. #shopeehaul,worth the price,,5.0,2020-02-26 15:20:00,no,price
9,9,Shopee,Innisfree,Gift Sets,innisfree Brand Box,122.5,nexxcexxa,received all in good condition. worth the price. but just wondering how come flash deal more ex than normal times. #shopeehaul,but just wondering how come flash deal more ex than normal times,,5.0,2020-02-26 15:20:00,no,price
